id,tide,year
1,0.0,1985
1,-1.0,1986
1,4.0,1987
1,9.0,1988
1,15.0,1989
1,16.0,1990
1,15.0,1991
1,8.0,1992
1,5.0,1993
1,7.0,1994
1,13.0,1995
1,24.0,1996
1,35.0,1997
1,38.0,1998
1,37.0,1999
1,41.0,2000
1,45.0,2001
1,50.0,2002
1,55.0,2003
1,56.0,2004
1,44.0,2005
1,40.0,2006
1,34.0,2007
1,36.0,2008
1,41.0,2009
1,58.0,2010
1,59.0,2011
1,63.0,2012
1,65.0,2013
1,77.0,2014
1,70.0,2015
3,0.0,1985
3,0.0,1986
3,-4.0,1987
3,-8.0,1988
3,-4.0,1989
3,-10.0,1990
3,-24.0,1991
3,-29.0,1992
3,-41.0,1993
3,-54.0,1994
3,-57.0,1995
3,-51.0,1996
3,-46.0,1997
3,-44.0,1998
3,-40.0,1999
3,-18.0,2000
3,21.0,2001
3,43.0,2002
3,48.0,2003
3,41.0,2004
3,39.0,2005
3,32.0,2006
3,32.0,2007
3,30.0,2008
3,38.0,2009
3,42.0,2010
3,47.0,2011
3,53.0,2012
3,52.0,2013
3,27.5,2014
3,3.0,2015
5,0.0,1985
5,-5.0,1986
5,-8.0,1987
5,-7.0,1988
5,4.0,1989
5,9.0,1990
5,3.0,1991
5,4.0,1992
5,1.0,1993
5,-19.0,1994
5,-30.0,1995
5,-10.0,1996
5,-5.0,1997
5,-5.0,1998
5,3.0,1999
5,17.0,2000
5,27.0,2001
5,39.0,2002
5,35.0,2003
5,37.0,2004
5,30.0,2005
5,40.0,2006
5,34.0,2007
5,33.0,2008
5,36.0,2009
5,48.0,2010
5,50.0,2011
5,67.0,2012
5,71.0,2013
5,81.0,2014
5,77.0,2015
7,0.0,1985
7,-16.0,1986
7,-24.0,1987
7,-29.0,1988
7,-13.0,1989
7,16.0,1990
7,23.0,1991
7,28.0,1992
7,9.0,1993
7,17.0,1994
7,11.0,1995
7,-10.0,1996
7,-11.0,1997
7,16.0,1998
7,20.0,1999
7,20.0,2000
7,53.0,2001
7,63.0,2002
7,54.0,2003
7,55.0,2004
7,50.0,2005
7,50.0,2006
7,68.0,2007
7,79.0,2008
7,67.0,2009
7,62.0,2010
8,0.0,1985
8,-11.0,1986
8,-1.0,1987
8,0.0,1988
8,25.0,1989
8,34.0,1990
8,29.0,1991
8,28.0,1992
8,18.0,1993
8,-2.0,1994
8,3.0,1995
8,1.0,1996
8,1.0,1997
8,11.0,1998
8,14.0,1999
8,0.0,2000
8,10.0,2001
8,16.0,2002
8,10.0,2003
8,15.0,2004
8,22.0,2005
8,17.0,2006
8,31.0,2007
8,42.0,2008
8,42.0,2009
8,49.0,2010
8,59.0,2011
8,53.0,2012
8,50.0,2013
8,45.0,2014
8,45.0,2015
9,0.0,1985
9,-5.0,1986
9,-3.0,1987
9,5.0,1988
9,12.0,1989
9,23.0,1990
9,12.0,1991
9,9.0,1992
9,-5.0,1993
9,-2.0,1994
9,0.0,1995
9,-3.0,1996
9,-11.0,1997
9,-5.0,1998
9,-5.0,1999
9,-8.0,2000
9,16.0,2001
9,31.0,2002
9,24.0,2003
9,23.0,2004
9,20.0,2005
9,14.0,2006
9,22.0,2007
9,31.0,2008
9,28.0,2009
9,32.0,2010
9,34.0,2011
9,26.0,2012
9,21.0,2013
9,27.0,2014
9,33.0,2015
10,0.0,1985
10,13.0,1986
10,1.0,1987
10,-40.0,1988
10,-50.0,1989
10,-46.0,1990
10,-55.0,1991
10,-43.0,1992
10,-23.0,1993
10,-21.0,1994
10,-5.0,1995
10,1.0,1996
10,2.0,1997
10,7.0,1998
10,5.0,1999
10,-9.0,2000
10,-14.0,2001
10,-27.0,2002
10,-40.0,2003
10,-29.0,2004
10,-18.0,2005
10,-2.0,2006
10,-12.0,2007
10,-16.0,2008
10,-17.0,2009
10,-20.0,2010
10,-29.0,2011
10,-18.0,2012
10,-17.0,2013
10,-4.0,2014
10,12.0,2015
11,0.0,1985
11,-13.0,1986
11,-5.0,1987
11,-9.0,1988
11,18.0,1989
