iso3-code,name,lon1,lat1,lon2,lat2
ALA,Aland,195.190.429.688,600.116.699.219,20.611.328.125,604.058.105.469
ARG,Argentina,-735.762.695.312,-550.321.289.062,-536.685.546.875,-218.025.390.625
ASM,American Samoa,-170.820.507.813,-14.359.765.625,-170.568.115.234,-14.257.421.875
ATA,Antarctica,-180.0,-899.989.257.812,-1.845.703.125,-6.107.265.625
AUS,Australia,112.908.203.125,-391.455.078.125,153.616.894.531,-100.517.578.125
BEL,Brussels,42.146.484.375,507.760.253.906,444.169.921.875,50.900.390.625
BMU,Bermuda,-648.628.417.969,322.596.191.406,-646.683.105.469,323.869.140.625
BRA,Brazil,-740.020.507.813,-337.421.875,-3.480.546.875,525.795.898.437
CAN,Canada,-141.002.148.438,416.748.535.156,-526.536.621.094,831.161.132.813
CHL,Chile,-757.081.054.687,-558.916.992.188,-664.357.910.156,-175.060.546.875
CHN,China,736.073.242.187,202.637.207.031,13.475.234.375,535.556.152.344
COK,Cook Is.,-159.842.480.469,-212.495.117.188,-159.736.865.234,-211.864.257.813
CUB,Cuba,-848.872.070.313,1.985.546.875,-741.368.164.063,231.904.296.875
DEU,Germany,585.751.953.125,472.788.085.938,150.166.015.625,550.587.402.344
DNK,Denmark,8.121.484.375,546.288.574.219,126.657.226.563,577.369.140.625
ECU,Ecuador,-809.627.929.687,-4.990.625,-75.249.609.375,145.537.109.375
ESP,Spain,-923.564.453.125,360.259.277.344,330.673.828.125,437.645.507.812
FIN,Finland,206.221.679.688,59.816.015.625,315.365.234.375,7.006.484.375
FJI,Fiji,174.587.207.031,-21.705.859.375,180.0,-12.476.953.125
FRA,France,-47.625,423.404.785.156,814.033.203.125,510.971.191.406
FSM,Micronesia,138.061.914.063,527.724.609.375,162.993.457.031,959.331.054.687
GBR,England,-565.625,500.213.867.188,174.658.203.125,558.079.589.844
GEO,Georgia,399.783.203.125,410.702.148.437,466.725.585.938,435.697.753.906
GRC,Greece,19.646.484.375,349.344.726.563,282.318.359.375,417.437.988.281
GUM,Guam,144.649.316.406,132.575.195.312,144.940.820.313,136.223.632.813
HRV,Croatia,135.171.875,424.329.101.562,194.009.765.625,465.346.191.406
IND,India,681.650.390.625,80.783.203.125,973.435.546.875,354.958.984.375
ISL,Iceland,-244.756.835.937,634.066.894.531,-135.561.035.156,665.260.742.187
ITA,Italy,6.627.734.375,379.391.113.281,184.858.398.438,470.821.289.063
JPN,Japan,128.649.121.094,3.024.140.625,141.329.199.219,454.654.785.156
KIR,Kiribati,-174.540.820.313,-114.568.359.375,-151.782.617.188,392.353.515.625
KOR,Korea,126.007.519.531,342.964.355.469,129.572.851.563,386.234.375
LTU,Lithuania,208.998.046.875,5.389.296.875,267.756.835.938,564.111.816.406
MHL,Marshall Is.,166.844.726.563,57.998.046.875,171.756.835.937,111.686.523.438
MNP,N. Mariana Is.,145.152.148.438,14.111.328.125,145.835.449.219,188.067.871.094
MYS,Malaysia,996.462.890.625,861.962.890.625,119.266.308.594,735.166.015.625
NLD,Netherlands,3.133,50.75,7.217,53.683
NOR,Norway,47.990.234.375,580.209.472.656,309.606.445.313,711.420.898.438
NZL,South I.,166.477.636.719,-47.263.671.875,174.370.117.188,-404.900.390.625
PAN,Panama,-8.302.734.375,722.006.835.938,-771.959.960.937,95.978.515.625
PER,Peru,-813.366.210.937,-183.456.054.688,-686.852.539.062,-41.748.046.875
PHL,Philippines,11.696.953.125,506.020.507.812,126.593.359.375,208.412.597.656
PLW,Palau,131.134.960.938,3.021.875,134.659.570.313,7.712.109.375
PRI,Puerto Rico,-679.370.605.469,17.947.265.625,-652.948.730.469,185.221.679.687
PRT,Portugal,-947.973.632.812,370.054.199.219,-62.125,421.374.023.437
PYF,Fr. Polynesia,-151.512.402.344,-208.758.789.063,-136.293.896.484,-878.154.296.875
REU,Reunion,552.328.125,-213.690.429.688,558.390.625,-208.651.367.188
RUS,Russia,-180.0,642.797.363.281,-169.729.150.391,715.961.914.063
SGP,Singapore,103.650.195.312,126.538.085.938,103.996.386.719,14.470.703.125
SJM,Svalbard Is.,105.576.171.875,743.521.484.375,33.629.296.875,804.778.320.312
SWE,Sweden,111.471.679.688,553.463.867.188,2.415.546.875,690.368.652.344
THA,Thailand,973.739.257.812,563.676.757.813,105.641.015.625,204.244.140.625
TZA,Tanzania,293.234.375,-117.162.109.375,404.635.742.188,-994.921.875
URY,Uruguay,-584.381.347.656,-349.328.125,-531.255.859.375,-301.010.742.188
USA,U.S.A.,-124.709.960.938,245.423.339.844,-669.870.117.187,493.696.777.344
VIR,U.S. Virgin Is.,-650.236.328.125,177.017.089.844,-6.458.046.875,183.852.050.781
VNM,Vietnam,102.127.441.406,858.325.195.312,109.444.921.875,233.452.148.438
ZAF,South Africa,164.475.585.938,-347.857.421.875,328.861.328.125,-221.462.890.625
