id,location,Korean,country,continent
1,Brest,브레스트,FRA,europe
61,Marseille,마르세유,FRA,europe
453,Le Havre,르 아브르,FRA,europe
467,Cherbourg,셰르부르,FRA,europe
468,Dunkerque,됭케르크,FRA,europe
469,St Jean De Luz (Socoa),생 장 드 뤼즈,FRA,europe
471,Boulogne,블로뉴,FRA,europe
474,Dieppe,디에프,FRA,europe
1247,Port Tudy,뽀흐 뚜디,FRA,europe
1294,Le Conquet,르 꽁께,FRA,europe
1347,Roscoff,호스꼬프,FRA,europe
1468,Nice,니스,FRA,europe
1469,Port Vendres,뽀흐 벙드흐,FRA,europe
1801,Boucau,부꼬,FRA,europe
3,Sheerness,쉬어니스,GBR,europe
5,Holyhead,홀리헤드,GBR,europe
95,North Shields,노스 쉴즈,GBR,europe
202,Newlyn,뉴린,GBR,europe
255,Dover,도버,GBR,europe
286,Immingham,이밍햄,GBR,europe
314,Stornoway,스토너웨이,GBR,europe
350,Portsmouth,포츠머스,GBR,europe
361,Aberdeen I,애버딘 1,GBR,europe
754,Lowestoft,로웨스터프,GBR,europe
755,Millport,밀포트,GBR,europe
830,Lerwick,러윅,GBR,europe
936,Heysham,헤이샴,GBR,europe
982,Devonport,데본포트,GBR,europe
1109,Wick,윅,GBR,europe
1112,Ullapool,울라풀,GBR,europe
1215,Portpatrick,포트패트릭,GBR,europe
1505,Whitby,휘트비,GBR,europe
7,Cuxhaven 2,쿡스하펜 2,DEU,europe
8,Wismar 2,비스마르 2,DEU,europe
11,Warnemunde 2,바르네뮌데 2,DEU,europe
397,Sassnitz,자스니츠,DEU,europe
1036,Amrum (Wittduen),암룸(비트뒨),DEU,europe
1037,Borkum (Fischerbalje),보르쿰섬(피셔발제),DEU,europe
1448,Koserow,코제로브,DEU,europe
9,Maassluis,마슬루이스,NLD,europe
20,Vlissingen,블리싱언,NLD,europe
22,Hoek Van Holland,훅 반 홀란드,NLD,europe
23,Den Helder,덴 헬데르,NLD,europe
24,Delfzijl,델프제일,NLD,europe
25,Harlingen,하를링언,NLD,europe
32,Ijmuiden,에이마위던,NLD,europe
236,West-Terschelling,베스트-테르스헬링,NLD,europe
10,San Francisco,샌프란시스코,USA,north-america
12,New York (The Battery),뉴욕(배터리 시티),USA,north-america
112,Fernandina Beach,퍼난디나 비치,USA,north-america
127,Seattle,시애틀,USA,north-america
